Latitude,Longitude
45.383942,-75.6725604889649
45.383912,-75.6725604889649
45.383900,-75.6725604889635
45.382900,-75.6725604889635
45.381900,-75.6725604889635
45.341900,-75.7325604889635
45.341900,-75.7425604889635
45.341900,-75.7525604889635
45.341900,-75.7725604889635
45.341900,-75.7925604889635
45.341900,-75.8025604889635
45.343900,-75.8025604889635
45.353900,-75.7925604889635
45.373900,-75.7825604889635
45.302626,-75.7630258613232
45.30285385,-75.6031394324131
45.30295385,-75.5931394324131
45.12312364,-75.5235614233123
45.11312364,-75.5235614233123
