Latitude,Longitude
45.34485385,-75.7958394324131
45.33685630,-75.7950236546978
45.31585630,-75.7850236546978
45.29262626,-75.7830258613232
45.28631235,-75.7820136423654
45.28631235,-75.7720136423654
45.28731235,-75.7520136423654
45.28530035,-75.7420136423654
45.28430035,-75.7320136423654
45.27430035,-75.7321136423654
45.27380035,-75.7221136423654
45.26380035,-75.7200036423654
45.26180035,-75.7120036423654
45.30085385,-75.6258394324131
45.30185385,-75.6242394324131
45.30285385,-75.6231394324131
45.30285385,-75.6131394324131
45.30285385,-75.6031394324131
45.30295385,-75.5931394324131
45.12312364,-75.5235614233123
